wals_code	name	family	features
wmu	Wik Munkan	Pama-Nyungan	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=1 No tones|absence_of_common_consonants=3 No fricatives|presence_of_uncommon_consonants=1 None|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|indefinite_pronouns=1 Interrogative-based|position_of_case_affixes=1 Case suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|negative_morphemes=2 Negative particle|hand_and_arm=2 Different|finger_and_hand=2 Different|postverbal_negative_morphemes=4 None|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|the_position_of_negative_morphemes_in_sov_languages=14 Other NegV|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=1 No inclusive/exclusive opposition
wn	Wik Ngathana	Pama-Nyungan	position_of_case_affixes=1 Case suffixes|order_of_subject,_object_and_verb=6 OSV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|position_of_polar_question_particles=2 Final|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|polar_questions=1 Question particle
wra	Warao	Warao	consonant_inventories=1 Small|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|the_velar_nasal=3 No velar nasal|vowel_nasalization=2 Contrast absent|front_rounded_vowels=1 None|syllable_structure=1 Simple|tone=1 No tones|fixed_stress_locations=2 Initial|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=1 Trochaic|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|fusion_of_selected_inflectional_formatives=1 Exclusively concatenative|exponence_of_selected_inflectional_formatives=1 Monoexponential case|inflectional_synthesis_of_the_verb=3 4-5 categories per word|locus_of_marking_in_the_clause=2 Dependent marking|locus_of_marking_in_possessive_noun_phrases=5 Other|locus_of_marking:_whole-language_typology=5 Inconsistent or other|prefixing_vs._suffixing_in_inflectional_morphology=3 Weakly suffixing|case_syncretism=1 No case marking|syncretism_in_verbal_person/number_marking=1 No subject person/number marking|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|coding_of_nominal_plurality=2 Plural suffix|plurality_in_independent_personal_pronouns=4 Person-number stem|inclusive/exclusive_distinction_in_independent_pronouns=3 No inclusive/exclusive|inclusive/exclusive_distinction_in_verbal_inflection=1 No person marking|distance_contrasts_in_demonstratives=2 Two-way contrast|pronominal_and_adnominal_demonstratives=1 Identical|third_person_pronouns_and_demonstratives=4 Related to non-remote demonstratives|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|politeness_distinctions_in_pronouns=1 No politeness distinction|indefinite_pronouns=1 Interrogative-based|intensifiers_and_reflexive_pronouns=2 Differentiated|person_marking_on_adpositions=3 Pronouns only|number_of_cases=5 5 cases|asymmetrical_case-marking=2 Symmetrical|comitatives_and_instrumentals=2 Differentiation|ordinal_numerals=1 None|distributive_numerals=2 Marked by reduplication|position_of_pronominal_possessive_affixes=1 Possessive prefixes|obligatory_possessive_inflection=2 Absent|possessive_classification=2 Two classes|genitives,_adjectives_and_relative_clauses=6 Highly differentiated|action_nominal_constructions=5 Other|nominal_and_verbal_conjunction=2 Differentiation|perfective/imperfective_aspect=2 No grammatical marking|the_past_tense=4 No past tense|the_future_tense=1 Inflectional future exists|the_perfect=4 No perfect|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=1 Normal imperative + normal negative|the_optative=2 Inflectional optative absent|situational_possibility=1 Affixes on verbs|epistemic_possibility=2 Affixes on verbs|overlap_between_situational_and_epistemic_modal_marking=3 No overlap|semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=2 Verbal affix or clitic|suppletion_according_to_tense_and_aspect=4 None|verbal_number_and_suppletion=1 None|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_degree_word_and_adjective=2 Adjective-Degree word|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|alignment_of_case_marking_of_full_noun_phrases=2 Nominative - accusative (standard)|alignment_of_case_marking_of_pronouns=2 Nominative - accusative (standard)|alignment_of_verbal_person_marking=2 Accusative|verbal_person_marking=5 Both the A and P arguments|third_person_zero_of_verbal_person_marking=4 Zero in all 3sg forms|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|ditransitive_constructions:_the_verb_'give'=3 Secondary-object construction|reciprocal_constructions=2 Distinct from reflexive|passive_constructions=2 Absent|antipassive_constructions=3 No antipassive|applicative_constructions=3 Benefactive and other; both bases|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=1 Negative affix|symmetric_and_asymmetric_standard_negation=2 Asymmetric|subtypes_of_asymmetric_standard_negation=1 A/Fin|polar_questions=1 Question particle|relativization_on_subjects=2 Non-reduction|relativization_on_obliques=4 Gap|'want'_complement_subjects=4 Desiderative verbal affix|purpose_clauses=3 Deranked|'when'_clauses=3 Deranked|reason_clauses=3 Deranked|utterance_complement_clauses=1 Balanced|hand_and_arm=2 Different|finger_and_hand=2 Different|numeral_bases=3 Pure vigesimal|m-t_pronouns=1 No M-T pronouns|n-m_pronouns=1 No N-M pronouns|postverbal_negative_morphemes=2 [V-Neg]|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|preverbal_negative_morphemes=4 None|order_of_negative_morpheme_and_verb=4 [V-Neg]|the_position_of_negative_morphemes_in_sov_languages=15 More than one construction|minor_morphological_means_of_signaling_negation=4 None|m_in_second_person_singular=1 No m in second person singular|m_in_first_person_singular=2 m in first person singular|other_roles_of_applied_objects=5 No applicative construction|zero_marking_of_a_and_p_arguments=2 Non-zero marking|exponence_of_tense-aspect-mood_inflection=1 monoexponential TAM|productivity_of_the_antipassive_construction=4 no antipassive|number_of_possessive_nouns=1 None reported|suppletion_in_imperatives_and_hortatives=5 None (= no suppletive imperatives reported in the reference material)
wrb	Warrnambool	Pama-Nyungan	prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|position_of_case_affixes=1 Case suffixes|position_of_pronominal_possessive_affixes=2 Possessive suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject_and_verb=2 VS|order_of_object_and_verb=2 VO|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|expression_of_pronominal_subjects=3 Subject clitics on variable host|negative_morphemes=2 Negative particle|postverbal_negative_morphemes=4 None|verb-initial_with_clause-final_negative=4 No clause-final neg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|verb-initial_with_preverbal_negative=1 Separate word, no double negation	Word&NoDoubleNeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 None|the_position_of_negative_morphemes_in_verb-initial_languages=6 NegV & VS & VO|minor_morphological_means_of_signaling_negation=4 None
wrd	Wardaman	Yangmanic	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|the_velar_nasal=1 Initial velar nasal|vowel_nasalization=2 Contrast absent|front_rounded_vowels=1 None|syllable_structure=3 Complex|tone=1 No tones|fixed_stress_locations=6 Penultimate|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=1 Trochaic|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|fusion_of_selected_inflectional_formatives=1 Exclusively concatenative|exponence_of_selected_inflectional_formatives=1 Monoexponential case|prefixing_vs._suffixing_in_inflectional_morphology=4 Equal prefixing and suffixing|reduplication=1 Productive full and partial reduplication|case_syncretism=1 No case marking|syncretism_in_verbal_person/number_marking=3 Not syncretic|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=2 Sex-based|systems_of_gender_assignment=2 Semantic|coding_of_nominal_plurality=2 Plural suffix|occurrence_of_nominal_plurality=3 Only human nouns, obligatory|plurality_in_independent_personal_pronouns=4 Person-number stem|the_associative_plural=1 Associative same as additive plural|definite_articles=5 No definite or indefinite article|inclusive/exclusive_distinction_in_independent_pronouns=5 Inclusive/exclusive|inclusive/exclusive_distinction_in_verbal_inflection=5 Inclusive/exclusive|distance_contrasts_in_demonstratives=2 Two-way contrast|pronominal_and_adnominal_demonstratives=1 Identical|third_person_pronouns_and_demonstratives=2 Related for all demonstratives|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|indefinite_pronouns=1 Interrogative-based|person_marking_on_adpositions=1 No adpositions|number_of_cases=7 8-9 cases|asymmetrical_case-marking=2 Symmetrical|position_of_case_affixes=1 Case suffixes|ordinal_numerals=1 None|nominal_and_verbal_conjunction=2 Differentiation|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=3 Special imperative + normal negative|the_optative=2 Inflectional optative absent|epistemic_possibility=3 Other|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|coding_of_evidentiality=1 No grammatical evidentials|order_of_subject,_object_and_verb=7 No dominant order|order_of_subject_and_verb=3 No dominant order|order_of_object_and_verb=3 No dominant order|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=3 No dominant order|order_of_adjective_and_noun=3 No dominant order|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|alignment_of_case_marking_of_full_noun_phrases=1 Neutral|alignment_of_case_marking_of_pronouns=4 Ergative - absolutive|alignment_of_verbal_person_marking=2 Accusative|expression_of_pronominal_subjects=2 Subject affixes on verb|verbal_person_marking=5 Both the A and P arguments|third_person_zero_of_verbal_person_marking=4 Zero in all 3sg forms|order_of_person_markers_on_the_verb=2 A precedes P|ditransitive_constructions:_the_verb_'give'=3 Secondary-object construction|passive_constructions=2 Absent|antipassive_constructions=2 Oblique patient|applicative_constructions=8 No applicative construction|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=2 Negative particle|symmetric_and_asymmetric_standard_negation=1 Symmetric|subtypes_of_asymmetric_standard_negation=7 Non-assignable|relativization_on_subjects=4 Gap|purpose_clauses=3 Deranked|'when'_clauses=3 Deranked|reason_clauses=3 Deranked|hand_and_arm=2 Different|finger_and_hand=2 Different|m-t_pronouns=1 No M-T pronouns|n-m_pronouns=1 No N-M pronouns|postverbal_negative_morphemes=4 None|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|minor_morphological_means_of_signaling_negation=4 None|m_in_second_person_singular=1 No m in second person singular|m_in_first_person_singular=1 No m in first person singular|other_roles_of_applied_objects=5 No applicative construction|exponence_of_tense-aspect-mood_inflection=1 monoexponential TAM|productivity_of_the_antipassive_construction=4 no antipassive
wrg	Warrgamay	Pama-Nyungan	fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=1 Left-edge: First or second|weight_factors_in_weight-sensitive_stress_systems=2 Long vowel|rhythm_types=1 Trochaic|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|distance_contrasts_in_demonstratives=2 Two-way contrast|pronominal_and_adnominal_demonstratives=1 Identical|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=2 Differentiation|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=4 Special imperative + special negative|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|coding_of_evidentiality=1 No grammatical evidentials|order_of_subject,_object_and_verb=7 No dominant order|order_of_subject_and_verb=3 No dominant order|order_of_object_and_verb=3 No dominant order|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_relative_clause_and_noun=7 Mixed|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|expression_of_pronominal_subjects=5 Optional pronouns in subject position|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|negative_morphemes=2 Negative particle|polar_questions=6 Interrogative intonation only|purpose_clauses=3 Deranked|hand_and_arm=2 Different|postverbal_negative_morphemes=4 None|prenominal_relative_clauses=2 RelN or NRel|postnominal_relative_clauses=2 NRel or RelN|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated
wrw	Warrwa	Nyulnyulan	prefixing_vs._suffixing_in_inflectional_morphology=5 Weakly prefixing|coding_of_nominal_plurality=2 Plural suffix|definite_articles=5 No definite or indefinite article|position_of_case_affixes=8 Inpositional clitics|comitatives_and_instrumentals=2 Differentiation|position_of_pronominal_possessive_affixes=1 Possessive prefixes|position_of_tense-aspect_affixes=4 Mixed type|order_of_subject,_object_and_verb=7 No dominant order|order_of_subject_and_verb=3 No dominant order|order_of_object_and_verb=3 No dominant order|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=6 Mixed|order_of_numeral_and_noun=1 Numeral-Noun|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|expression_of_pronominal_subjects=2 Subject affixes on verb
wry	Waray (in Australia)	Gunwinyguan	consonant_inventories=2 Moderately small|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|tone=1 No tones|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|locus_of_marking_in_the_clause=3 Double marking|locus_of_marking_in_possessive_noun_phrases=2 Dependent marking|locus_of_marking:_whole-language_typology=5 Inconsistent or other|reduplication=1 Productive full and partial reduplication|indefinite_pronouns=1 Interrogative-based|position_of_case_affixes=6 Postpositional clitics|obligatory_possessive_inflection=2 Absent|possessive_classification=1 No possessive classification|position_of_tense-aspect_affixes=1 Tense-aspect prefixes|order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=1 Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=3 VO and Postpositions|expression_of_pronominal_subjects=2 Subject affixes on verb|ditransitive_constructions:_the_verb_'give'=3 Secondary-object construction|negative_morphemes=2 Negative particle|zero_marking_of_a_and_p_arguments=2 Non-zero marking|number_of_possessive_nouns=1 None reported
wsk	Waskia	Trans-New Guinea	locus_of_marking_in_the_clause=1 Head marking|locus_of_marking_in_possessive_noun_phrases=2 Dependent marking|locus_of_marking:_whole-language_typology=5 Inconsistent or other|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|definite_articles=1 Definite word distinct from demonstrative|indefinite_articles=5 No definite or indefinite article|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|person_marking_on_adpositions=2 No person marking|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=2 Differentiation|position_of_pronominal_possessive_affixes=2 Possessive suffixes|obligatory_possessive_inflection=2 Absent|possessive_classification=2 Two classes|noun_phrase_conjunction=2 'And' identical to 'with'|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_degree_word_and_adjective=2 Adjective-Degree word|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|alignment_of_verbal_person_marking=2 Accusative|verbal_person_marking=2 Only the A argument|third_person_zero_of_verbal_person_marking=2 No zero realization|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|passive_constructions=2 Absent|negative_morphemes=2 Negative particle|polar_questions=1 Question particle|predicative_possession=3 Topic|predicative_adjectives=2 Nonverbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=2 Possible|numeral_bases=1 Decimal|m-t_pronouns=1 No M-T pronouns|n-m_pronouns=1 No N-M pronouns|postverbal_negative_morphemes=4 None|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=7 SONegV|sonegv_order=1 Word&NoDoubleNeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=3 SONegV|minor_morphological_means_of_signaling_negation=4 None|m_in_second_person_singular=2 m in second person singular|m_in_first_person_singular=1 No m in first person singular|zero_marking_of_a_and_p_arguments=2 Non-zero marking|number_of_possessive_nouns=1 None reported
wth	Wathawurrung	Pama-Nyungan	position_of_case_affixes=1 Case suffixes|position_of_pronominal_possessive_affixes=1 Possessive prefixes|the_morphological_imperative=4 Second person number-neutral|the_prohibitive=4 Special imperative + special negative|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|order_of_object_and_verb=2 VO|order_of_adjective_and_noun=2 Noun-Adjective|position_of_polar_question_particles=1 Initial|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|expression_of_pronominal_subjects=3 Subject clitics on variable host|polar_questions=1 Question particle|hand_and_arm=2 Different|finger_and_hand=2 Different
wuc	Wu (Changzhou)	Sino-Tibetan	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=3 In fricatives alone|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|tone=3 Complex tone system|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None
wur	Waurá	Arawakan	numeral_classifiers=2 Optional|semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=2 Verbal affix or clitic|reciprocal_constructions=2 Distinct from reflexive
wwa	Waama	Niger-Congo	order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_genitive_and_noun=1 Genitive-Noun|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|polar_questions=1 Question particle
wwr	Woiwurrung	Pama-Nyungan	the_morphological_imperative=1 Second singular and second plural|the_prohibitive=4 Special imperative + special negative|hand_and_arm=2 Different|finger_and_hand=2 Different|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated
wya	Wyandot	Iroquoian	position_of_pronominal_possessive_affixes=1 Possessive prefixes|position_of_tense-aspect_affixes=4 Mixed type|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=1 VOX|expression_of_pronominal_subjects=2 Subject affixes on verb|negative_morphemes=2 Negative particle|postverbal_negative_morphemes=4 None|verb-initial_with_clause-final_negative=4 No clause-final neg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|verb-initial_with_preverbal_negative=1 Separate word, no double negation	Word&NoDoubleNeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=13 OptSingleNeg|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 None|the_position_of_negative_morphemes_in_verb-initial_languages=6 NegV & VS & VO|minor_morphological_means_of_signaling_negation=4 None
xam	/Xam	Tu	comitatives_and_instrumentals=1 Identity|numeral_classifiers=3 Obligatory|genitives,_adjectives_and_relative_clauses=4 Adjectives and relative clauses collapsed|order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=1 VOX|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=2 Noun-Numeral|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|ditransitive_constructions:_the_verb_'give'=2 Double-object construction|negative_morphemes=2 Negative particle|postverbal_negative_morphemes=4 None|svnego_order=7 No SVNegO|position_of_negative_word_with_respect_to_subject,_object,_and_verb=2 SNegVO|svoneg_order=4 No SVONeg|the_position_of_negative_morphemes_in_svo_languages=2 SNegVO|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|minor_morphological_means_of_signaling_negation=4 None
xar	Xârâcùù	Austronesian	prefixing_vs._suffixing_in_inflectional_morphology=1 Little affixation|coding_of_nominal_plurality=7 Plural word|definite_articles=5 No definite or indefinite article|indefinite_articles=5 No definite or indefinite article|position_of_case_affixes=9 No case affixes or adpositional clitics|position_of_pronominal_possessive_affixes=2 Possessive suffixes|position_of_tense-aspect_affixes=5 No tense-aspect inflection|order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=1 VOX|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|negative_morphemes=4 Negative word, unclear if verb or particle|hand_and_arm=1 Identical|finger_and_hand=2 Different|postverbal_negative_morphemes=4 None|svnego_order=7 No SVNegO|position_of_negative_word_with_respect_to_subject,_object,_and_verb=2 SNegVO|snegvo_order=1 Word&NoDoubleNeg|svoneg_order=4 No SVONeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|the_position_of_negative_morphemes_in_svo_languages=2 SNegVO|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|negsvo_order=4 No NegSVO|minor_morphological_means_of_signaling_negation=4 None
xas	Xasonga	Mande	vowel_nasalization=2 Contrast absent|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|coding_of_nominal_plurality=2 Plural suffix|indefinite_articles=1 Indefinite word distinct from 'one'|position_of_case_affixes=1 Case suffixes|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_object,_oblique,_and_verb=5 OVX|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=7 Mixed|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|order_of_adverbial_subordinator_and_clause=2 Final subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|polar_questions=6 Interrogative intonation only
